algorithm,dataset,budget,seed,best_performance,best_solution,valid_count,invalid_count,total_samples
baseline_random_search,LLVM,100,66,61959.6,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]",100,0,100
baseline_random_search,LLVM,100,67,57722.6,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,68,57014.4,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",100,0,100
baseline_random_search,LLVM,100,69,59258.6,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,70,59147.4,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",100,0,100
baseline_random_search,LLVM,100,71,59297.6,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",100,0,100
baseline_random_search,PostgreSQL,50,42,46078.8,"[0, 0, 1, 0, 0, 128, 32, 256]",50,0,50
baseline_random_search,PostgreSQL,50,43,46132.6,"[0, 0, 1, 0, 1, 64, 32, 1024]",50,0,50
baseline_random_search,PostgreSQL,50,44,46042.4,"[0, 0, 0, 0, 0, 256, 32, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,45,46047.4,"[0, 1, 1, 0, 0, 256, 32, 1024]",50,0,50
baseline_random_search,PostgreSQL,50,46,46035.0,"[0, 0, 0, 0, 1, 128, 32, 256]",50,0,50
baseline_random_search,PostgreSQL,50,47,46039.0,"[0, 1, 0, 0, 0, 256, 32, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,48,46035.0,"[0, 0, 0, 0, 1, 128, 32, 256]",50,0,50
baseline_random_search,PostgreSQL,50,49,46100.4,"[0, 0, 0, 0, 1, 256, 8, 256]",50,0,50
baseline_random_search,PostgreSQL,50,50,46035.0,"[0, 0, 0, 0, 1, 128, 32, 256]",50,0,50
baseline_random_search,PostgreSQL,50,51,45980.8,"[0, 1, 0, 0, 0, 128, 8, 1024]",50,0,50
baseline_random_search,PostgreSQL,50,52,46100.4,"[0, 0, 0, 0, 1, 256, 8, 256]",50,0,50
baseline_random_search,PostgreSQL,50,53,45980.8,"[0, 1, 0, 0, 0, 128, 8, 1024]",50,0,50
baseline_random_search,PostgreSQL,50,54,46133.4,"[0, 1, 0, 0, 1, 256, 8, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,55,46163.2,"[0, 0, 1, 0, 0, 128, 8, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,56,46133.4,"[0, 1, 0, 0, 1, 256, 8, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,57,46121.0,"[0, 0, 1, 0, 1, 128, 2, 256]",50,0,50
baseline_random_search,PostgreSQL,50,58,46042.4,"[0, 0, 0, 0, 0, 256, 32, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,59,46073.6,"[0, 0, 0, 0, 1, 64, 32, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,60,46064.6,"[0, 0, 1, 0, 1, 256, 8, 256]",50,0,50
baseline_random_search,PostgreSQL,50,61,46035.0,"[0, 0, 0, 0, 1, 128, 32, 256]",50,0,50
baseline_random_search,PostgreSQL,50,62,46047.4,"[0, 1, 1, 0, 0, 256, 32, 1024]",50,0,50
baseline_random_search,PostgreSQL,50,63,46100.4,"[0, 0, 0, 0, 1, 256, 8, 256]",50,0,50
baseline_random_search,PostgreSQL,50,64,46042.4,"[0, 0, 0, 0, 0, 256, 32, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,65,46096.4,"[0, 1, 0, 0, 0, 256, 2, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,66,46064.6,"[0, 0, 1, 0, 1, 256, 8, 256]",50,0,50
baseline_random_search,PostgreSQL,50,67,46097.6,"[0, 1, 0, 0, 0, 256, 8, 1024]",50,0,50
baseline_random_search,PostgreSQL,50,68,46095.0,"[0, 0, 1, 0, 0, 64, 2, 4096]",50,0,50
baseline_random_search,PostgreSQL,50,69,46138.8,"[0, 0, 1, 0, 0, 128, 32, 1024]",50,0,50
baseline_random_search,PostgreSQL,50,70,45939.8,"[0, 0, 1, 0, 1, 256, 32, 1024]",50,0,50
baseline_random_search,PostgreSQL,50,71,45939.8,"[0, 0, 1, 0, 1, 256, 32, 1024]",50,0,50
baseline_random_search,PostgreSQL,100,42,46078.8,"[0, 0, 1, 0, 0, 128, 32, 256]",100,0,100
baseline_random_search,PostgreSQL,100,43,45980.8,"[0, 1, 0, 0, 0, 128, 8, 1024]",100,0,100
baseline_random_search,PostgreSQL,100,44,46042.4,"[0, 0, 0, 0, 0, 256, 32, 4096]",100,0,100
baseline_random_search,PostgreSQL,100,45,46047.4,"[0, 1, 1, 0, 0, 256, 32, 1024]",100,0,100
baseline_random_search,PostgreSQL,100,46,46035.0,"[0, 0, 0, 0, 1, 128, 32, 256]",100,0,100
baseline_random_search,PostgreSQL,100,47,46035.0,"[0, 0, 0, 0, 1, 128, 32, 256]",100,0,100
baseline_random_search,PostgreSQL,100,48,46035.0,"[0, 0, 0, 0, 1, 128, 32, 256]",100,0,100
baseline_random_search,PostgreSQL,100,49,46022.8,"[0, 1, 0, 0, 0, 128, 2, 256]",100,0,100
baseline_random_search,PostgreSQL,100,50,46035.0,"[0, 0, 0, 0, 1, 128, 32, 256]",100,0,100
baseline_random_search,PostgreSQL,100,51,45980.8,"[0, 1, 0, 0, 0, 128, 8, 1024]",100,0,100
baseline_random_search,PostgreSQL,100,52,46054.6,"[0, 1, 0, 0, 1, 64, 8, 1024]",100,0,100
baseline_random_search,PostgreSQL,100,53,45980.8,"[0, 1, 0, 0, 0, 128, 8, 1024]",100,0,100
baseline_random_search,PostgreSQL,100,54,45922.8,"[0, 1, 1, 0, 0, 64, 8, 256]",100,0,100
baseline_random_search,PostgreSQL,100,55,46099.4,"[0, 1, 0, 0, 1, 128, 2, 1024]",100,0,100
baseline_random_search,PostgreSQL,100,56,46035.0,"[0, 0, 0, 0, 1, 128, 32, 256]",100,0,100
baseline_random_search,PostgreSQL,100,57,45980.8,"[0, 1, 0, 0, 0, 128, 8, 1024]",100,0,100
baseline_random_search,PostgreSQL,100,58,46042.4,"[0, 0, 0, 0, 0, 256, 32, 4096]",100,0,100
baseline_random_search,PostgreSQL,100,59,46073.6,"[0, 0, 0, 0, 1, 64, 32, 4096]",100,0,100
